fill_duration,initial_weight,quad1_adc_low,quad2_adc_low,quad3_adc_low,quad4_adc_low,quad5_adc_low,quad6_adc_low,quad1_adc_high,quad2_adc_high,quad3_adc_high,quad4_adc_high,quad5_adc_high,quad6_adc_high,quad1,quad2,quad3,quad4,quad5,quad6
250,60.4252,262,255,257,246,255,248,215,211,215,213,214,212,0.3959000000000046,0.33729999999999905,0.3376000000000019,0.3890999999999991,0.41610000000000014,0.36549999999999727
500,60.4518,263,257,258,247,257,250,215,211,215,213,214,212,0.6428999999999974,0.5058000000000007,0.33610000000000184,0.5739999999999981,0.5837000000000003,0.468900000000005
750,60.4165,265,257,261,246,257,250,215,211,215,213,214,212,0.8453999999999979,0.623899999999999,0.46979999999999933,0.7092000000000027,0.7381999999999991,0.5457999999999998
1000,60.3763,266,259,263,248,257,251,216,211,216,213,214,212,1.0164000000000044,0.7276999999999987,0.5457999999999998,0.8247999999999962,0.8541999999999987,0.6130000000000067
1250,60.3159,266,260,265,249,259,252,216,211,216,213,214,213,1.322899999999997,1.0078000000000031,0.7015999999999991,1.0765999999999991,1.0814999999999984,0.7949000000000055
1500,60.1534,270,261,267,250,260,253,216,211,216,213,215,213,1.6229000000000013,1.2646000000000015,0.9373000000000005,1.2864000000000004,1.2938999999999936,0.9731000000000023
1750,60.0864,271,262,269,252,263,256,216,211,216,213,215,213,1.8723000000000027,1.4268,1.165299999999995,1.4832000000000036,1.5090000000000003,1.157199999999996
2000,60.0454,273,264,272,253,263,257,216,212,217,214,215,213,2.0929,1.5608000000000004,1.279199999999996,1.6476000000000042,1.6723,1.306999999999995
2250,60.0026,272,264,273,253,263,257,216,212,217,214,215,213,2.162299999999995,1.5656000000000034,1.2920000000000016,1.6677999999999997,1.7121999999999957,1.3041000000000054
2500,59.9638,277,267,278,257,267,260,217,212,217,214,215,214,2.592799999999997,1.8763999999999967,1.639800000000001,2.0542000000000016,2.0859999999999985,1.693800000000003
2750,59.9265,279,271,283,259,269,261,217,212,218,214,216,214,2.9232999999999976,2.0848999999999975,1.9022000000000006,2.3338000000000036,2.3722999999999956,1.9834000000000032
3000,59.8905,282,272,286,262,273,264,217,212,218,215,216,214,3.189700000000002,2.273699999999998,2.115400000000001,2.570599999999999,2.6033000000000044,2.245999999999995
