fill_duration,initial_weight,quad1_adc_low,quad2_adc_low,quad3_adc_low,quad4_adc_low,quad5_adc_low,quad6_adc_low,quad1_adc_high,quad2_adc_high,quad3_adc_high,quad4_adc_high,quad5_adc_high,quad6_adc_high,quad1,quad2,quad3,quad4,quad5,quad6
500,61.295518181818188,263,257,258,246,255,248,215,210,215,213,214,212,0.63794545454543794,0.42858181818183283,0.58683636363636538,0.55548181818180353,0.6404818181818257,0.51324545454546211
1000,61.269190909090909,268,261,261,250,258,249,215,211,215,213,214,212,1.0896727272727418,0.71583636363634895,1.0380636363636455,1.0018727272727261,1.135700000000007,0.90086363636363131
1500,61.240599999999993,272,265,267,253,261,251,216,211,216,213,214,212,1.5088181818181852,0.95375454545454375,1.459754545454544,1.4142454545454584,1.6368454545454583,1.3020999999999887
2000,61.221818181818186,275,266,267,254,263,252,216,211,216,213,215,212,1.6771545454545489,1.0270363636363626,1.6468363636363534,1.6132818181818394,1.8875181818181801,1.4806090909090912
2500,61.188836363636362,283,273,273,261,270,256,217,212,216,214,215,213,2.2791545454545457,1.6533636363636361,2.2894181818181778,2.2603454545454653,2.6211181818181757,2.1598909090909117
3000,61.167327272727263,291,279,279,267,275,260,218,213,217,215,216,213,2.8209181818181932,2.1203999999999965,2.8679454545454419,2.8570000000000064,3.2991090909090914,2.8106363636363696
3500,61.13754545454546,297,284,282,272,278,261,219,214,218,216,217,214,3.0616818181818104,2.2760181818181877,3.1404909090909072,3.150845454545447,3.649909090909091,3.1314181818181908
4000,61.110336363636364,302,287,286,276,283,261,219,214,218,216,217,214,3.2821545454545458,2.4129999999999967,3.3812272727272656,3.4156454545454622,3.958654545454543,3.416181818181812
4500,61.086572727272717,317,299,297,288,293,270,221,216,219,218,219,215,4.0474818181818222,3.1089272727272643,4.129372727272731,4.1092909090909089,4.7228818181818184,4.2048909090909063
5000,61.057081818181814,333,314,310,301,305,276,223,217,221,220,220,216,4.6632454545454536,3.6877454545454498,4.7631818181818275,4.7489454545454564,5.3514999999999944,4.8391727272727394
5500,61.021209090909082,331,315,308,301,304,275,223,217,221,220,220,216,4.6706545454545534,3.5596545454545279,4.8110363636363687,4.7096545454545478,5.2987727272727341,4.8491181818181772
6000,60.988227272727265,346,329,320,314,317,282,224,219,222,222,222,217,5.192645454545449,4.0479090909090942,5.34226363636364,5.2723090909090899,5.8351636363636317,5.4563090909090946
6500,60.951472727272737,370,348,342,340,338,295,227,222,225,225,225,219,5.9157090909090897,4.7727818181818265,6.022145454545452,6.0091181818181738,6.5425636363636386,6.2578454545454605
