fill_duration,initial_weight,quad1_adc_low,quad2_adc_low,quad3_adc_low,quad4_adc_low,quad5_adc_low,quad6_adc_low,quad1_adc_high,quad2_adc_high,quad3_adc_high,quad4_adc_high,quad5_adc_high,quad6_adc_high,quad1,quad2,quad3,quad4,quad5,quad6
1000,61.41943333333333,258,266,260,268,259,257,216,213,212,214,215,215,0.48060000000000258,0.68003333333333416,1.0692333333333295,1.0054666666666776,0.9905333333333175,0.60203333333333831
2000,61.41823333333334,261,270,272,278,269,262,216,213,214,215,217,215,1.2009000000000114,1.2697333333333347,2.1344999999999956,1.9680666666666653,2.0283999999999978,1.1507000000000005
3000,61.404066666666665,270,277,286,291,280,268,218,214,216,217,218,216,2.0300333333333356,1.9372666666666731,3.1921666666666582,3.0415333333333407,3.0756999999999906,1.8646666666666718
4000,61.383766666666666,279,281,307,311,294,274,219,215,219,219,220,217,2.8748999999999967,2.5575666666666592,4.3316666666666706,4.1721666666666692,4.0400333333333265,2.5353000000000065
5000,61.369400000000006,283,284,331,328,303,277,219,215,221,222,222,218,3.1451333333333338,2.8205999999999989,5.1918666666666695,4.9579999999999984,4.589100000000002,2.835566666666665
6000,61.356400000000001,288,287,367,353,316,280,220,215,226,225,224,218,3.578400000000002,3.14286666666667,6.1961000000000013,5.8033333333333346,5.208833333333331,3.1482666666666574
7000,61.334100000000007,318,296,408,408,343,288,224,216,237,233,228,219,5.0592666666666624,3.9030000000000058,7.7527333333333246,7.2114666666666807,6.2376666666666623,3.7979666666666674
8000,61.320466666666668,349,305,408,408,373,296,229,217,254,244,232,220,6.1419333333333306,4.5192000000000014,9.0505333333333411,8.3546666666666596,7.0511333333333326,4.3651666666666671
9000,61.311233333333327,363,309,408,408,396,297,231,217,271,254,236,220,6.5599666666666643,4.8232333333333344,9.9081333333333355,9.0825666666666649,7.5223000000000013,4.5746999999999929
10000,61.294700000000006,344,304,408,408,402,289,228,217,279,257,237,219,6.0931999999999995,4.6207666666666647,10.232166666666668,9.29226666666667,7.6361999999999952,4.3715666666666664
1000,61.28723333333334,258,266,262,270,261,258,215,213,212,214,215,215,0.63016666666666765,0.72270000000001033,1.2815999999999974,1.2298666666666662,1.1240999999999985,0.74833333333333485
2000,61.25716666666667,263,270,276,279,268,262,216,213,214,215,217,215,1.2510333333333321,1.2912333333333379,2.5165000000000006,2.2224333333333277,2.1145999999999958,1.2849000000000075
3000,61.243099999999998,269,276,296,291,279,268,217,214,217,217,218,216,1.9413000000000054,1.9192999999999998,3.7406000000000006,3.1090666666666706,3.0810666666666648,1.927733333333336
4000,61.226533333333329,271,278,318,306,288,270,217,214,220,219,220,216,2.1910000000000025,2.2775333333333236,4.7205666666666772,3.9196999999999989,3.7199999999999989,2.2650000000000006
5000,61.2029,276,282,358,330,301,274,218,215,225,222,221,217,2.7571666666666701,2.7697666666666692,5.9649333333333345,5.0192333333333323,4.4990999999999985,2.7041333333333384
6000,61.185833333333335,295,290,408,381,323,281,221,215,235,228,225,218,4.0217333333333336,3.4786000000000001,7.4759999999999991,6.4982333333333315,5.5549333333333379,3.3789000000000016
7000,61.171566666666671,318,298,408,408,350,287,224,216,249,238,228,219,5.1264666666666692,4.1409999999999982,8.7856333333333367,7.7879999999999967,6.434899999999999,3.930100000000003
8000,61.1404,321,301,408,408,364,290,225,217,261,244,231,219,5.3429666666666691,4.36933333333333,9.4632666666666623,8.4105000000000061,6.8559333333333328,4.1580666666666559
9000,61.110899999999994,313,303,408,408,377,288,224,217,271,249,233,219,5.1086666666666716,4.4705333333333357,9.9290666666666674,8.7747333333333302,7.1296666666666653,4.1715666666666706
10000,61.091033333333336,392,343,408,408,407,321,235,221,280,279,244,224,7.2316666666666674,5.8592999999999975,10.258866666666666,10.286699999999996,8.4492666666666807,5.472933333333323
